fid,rec_grp_id,city,fxg_rec_out_id,fxg_name,fxg_start_date,fxg_end_date,fxg_flood_src,fxg_flood_caus,fxg_fm_status,fxg_hfm_status,fxg_data_src,fxg_fluvial_f,fxg_coastal_f,fxg_tidal_f,fxg_data_prov,fxg_data_qual,fxg_year,fxg_month,fxg_season,layer,path
1,4048,GreatYarmouth,4097323,2013 Flood Outline,2013-12-05T00:00:00,2013-12-06T00:00:00,sea,overtopping of defences,considered and rejected,considered and accepted,Other,False,True,True,Environment Agency,Poor,2013,12,Winter,GreatYarmouth_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={57827939-b8bf-4172-aca5-9f36574d83d8}"
2,2859,GreatYarmouth,4097314,1938 Horsey Flood Outline,1938-02-12T00:00:00,1938-02-28T00:00:00,sea,mechanical failure,considered and rejected,considered and accepted,Other,False,True,True,Environment Agency,Poor,1938,2,Winter,GreatYarmouth_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={57827939-b8bf-4172-aca5-9f36574d83d8}"
3,2135,GreatYarmouth,4097337,1953 Coast Flood Outline Norfolk,1953-01-31T00:00:00,1953-02-01T00:00:00,sea,other,considered and rejected,considered and accepted,Other,False,True,True,Environment Agency,Poor,1953,1,Winter,GreatYarmouth_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={57827939-b8bf-4172-aca5-9f36574d83d8}"
4,3555,Hull,27475,123JUN2007SW0003,2007-06-15T00:00:00,2007-06-25T00:00:00,other,unknown,considered and rejected,considered and rejected,Aerial Photography,False,False,False,,,2007,6,Summer,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
5,1702,Hull,13177,123 January 1982 - Allerton Ings Washland,1982-01-03T00:00:00,1982-01-31T00:00:00,main river,other,considered and accepted,considered and accepted,Survey,True,False,False,Environment Agency,,1982,1,Winter,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
6,4264,Hull,4085714,2018 Apr-River Hull. Froddingham (Old Howe) Breach,2018-03-31T00:00:00,2018-04-09T00:00:00,main river,overtopping of defences,considered and accepted,considered and accepted,Aerial Photography,True,False,False,,,2018,3,Spring,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
7,3176,Hull,27835,June 2007,2007-06-26T00:00:00,2007-06-28T00:00:00,main river,channel capacity exceeded (no raised defences),considered and accepted,considered and accepted,Aerial Photography,False,False,False,,,2007,6,Summer,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
8,1517,Hull,27511,123_Sept_1969_KingstonUponHull,1969-09-28T00:00:00,1969-09-29T00:00:00,sea,overtopping of defences,considered and rejected,considered and accepted,Other,False,True,False,,,1969,9,Autumn,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
9,4366,Hull,4094917,2020 February Flood Incident - Storm Ciara,2020-02-08T00:00:00,2020-02-14T00:00:00,drainage,local drainage/surface water,considered and rejected,considered and rejected,Satellite - Radar,False,False,False,Environment Agency,Fair,2020,2,Winter,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
10,4048,Hull,4097323,2013 Flood Outline,2013-12-05T00:00:00,2013-12-06T00:00:00,sea,overtopping of defences,considered and rejected,considered and accepted,Other,False,True,True,Environment Agency,Poor,2013,12,Winter,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
11,4337,Hull,4091568,2019 November Flood Incident,2019-11-07T00:00:00,2019-11-08T00:00:00,drainage,local drainage/surface water,considered and rejected,considered and rejected,Visual,False,False,False,Environment Agency,Very Good,2019,11,Autumn,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
12,1715,Hull,13282,123 January 1969 - Hull Headwaters,1969-01-21T00:00:00,1969-01-28T00:00:00,drainage,unknown,considered and accepted,considered and accepted,Aerial Photography,True,False,False,,,1969,1,Winter,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
13,4382,Hull,4094449,2020 February Flood Incident - Storm Dennis,2020-02-15T00:00:00,2020-03-19T00:00:00,ordinary watercourse,channel capacity exceeded (no raised defences),considered and accepted,considered and accepted,Satellite - Radar,True,False,False,Environment Agency,Fair,2020,2,Winter,Hull_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={36d051b2-2737-4352-8717-0b07bed170a4}"
14,4097,London,30787,ea06MaySpring2010,2010-05-02T00:00:00,2010-05-10T00:00:00,main river,channel capacity exceeded (no raised defences),considered and accepted,considered and accepted,Survey,True,False,False,Environment Agency,,2010,5,Spring,London_Unique values,"NoGeometry?crs=&field=rec_grp_id:integer(9,0)&uid={6365fc0a-037c-45f8-bc19-eea938106637}"
